interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2020-01-01T00:00:00-06:00,2020-01-01 06:00:00+00:00,2020-01-01T01:00:00-06:00,2020-01-01 07:00:00+00:00,HB_BUSAVG,13.7175
2020-01-01T01:00:00-06:00,2020-01-01 07:00:00+00:00,2020-01-01T02:00:00-06:00,2020-01-01 08:00:00+00:00,HB_BUSAVG,13.265
2020-01-01T02:00:00-06:00,2020-01-01 08:00:00+00:00,2020-01-01T03:00:00-06:00,2020-01-01 09:00:00+00:00,HB_BUSAVG,11.3608333333333
2020-01-01T03:00:00-06:00,2020-01-01 09:00:00+00:00,2020-01-01T04:00:00-06:00,2020-01-01 10:00:00+00:00,HB_BUSAVG,9.42083333333333
2020-01-01T04:00:00-06:00,2020-01-01 10:00:00+00:00,2020-01-01T05:00:00-06:00,2020-01-01 11:00:00+00:00,HB_BUSAVG,8.625
2020-01-01T05:00:00-06:00,2020-01-01 11:00:00+00:00,2020-01-01T06:00:00-06:00,2020-01-01 12:00:00+00:00,HB_BUSAVG,10.02
2020-01-01T06:00:00-06:00,2020-01-01 12:00:00+00:00,2020-01-01T07:00:00-06:00,2020-01-01 13:00:00+00:00,HB_BUSAVG,10.2233333333333
2020-01-01T07:00:00-06:00,2020-01-01 13:00:00+00:00,2020-01-01T08:00:00-06:00,2020-01-01 14:00:00+00:00,HB_BUSAVG,10.8491666666667
2020-01-01T08:00:00-06:00,2020-01-01 14:00:00+00:00,2020-01-01T09:00:00-06:00,2020-01-01 15:00:00+00:00,HB_BUSAVG,12.0633333333333
2020-01-01T09:00:00-06:00,2020-01-01 15:00:00+00:00,2020-01-01T10:00:00-06:00,2020-01-01 16:00:00+00:00,HB_BUSAVG,13.7616666666667
2020-01-01T10:00:00-06:00,2020-01-01 16:00:00+00:00,2020-01-01T11:00:00-06:00,2020-01-01 17:00:00+00:00,HB_BUSAVG,14.3525
2020-01-01T11:00:00-06:00,2020-01-01 17:00:00+00:00,2020-01-01T12:00:00-06:00,2020-01-01 18:00:00+00:00,HB_BUSAVG,14.4691666666667
2020-01-01T12:00:00-06:00,2020-01-01 18:00:00+00:00,2020-01-01T13:00:00-06:00,2020-01-01 19:00:00+00:00,HB_BUSAVG,15.2885714285714
2020-01-01T13:00:00-06:00,2020-01-01 19:00:00+00:00,2020-01-01T14:00:00-06:00,2020-01-01 20:00:00+00:00,HB_BUSAVG,16.4825
2020-01-01T14:00:00-06:00,2020-01-01 20:00:00+00:00,2020-01-01T15:00:00-06:00,2020-01-01 21:00:00+00:00,HB_BUSAVG,16.1125
2020-01-01T15:00:00-06:00,2020-01-01 21:00:00+00:00,2020-01-01T16:00:00-06:00,2020-01-01 22:00:00+00:00,HB_BUSAVG,15.8791666666667
2020-01-01T16:00:00-06:00,2020-01-01 22:00:00+00:00,2020-01-01T17:00:00-06:00,2020-01-01 23:00:00+00:00,HB_BUSAVG,16.355
2020-01-01T17:00:00-06:00,2020-01-01 23:00:00+00:00,2020-01-01T18:00:00-06:00,2020-01-02 00:00:00+00:00,HB_BUSAVG,17.3483333333333
2020-01-01T18:00:00-06:00,2020-01-02 00:00:00+00:00,2020-01-01T19:00:00-06:00,2020-01-02 01:00:00+00:00,HB_BUSAVG,16.5625
2020-01-01T19:00:00-06:00,2020-01-02 01:00:00+00:00,2020-01-01T20:00:00-06:00,2020-01-02 02:00:00+00:00,HB_BUSAVG,15.5583333333333
2020-01-01T20:00:00-06:00,2020-01-02 02:00:00+00:00,2020-01-01T21:00:00-06:00,2020-01-02 03:00:00+00:00,HB_BUSAVG,15.485
2020-01-01T21:00:00-06:00,2020-01-02 03:00:00+00:00,2020-01-01T22:00:00-06:00,2020-01-02 04:00:00+00:00,HB_BUSAVG,15.1741666666667
2020-01-01T22:00:00-06:00,2020-01-02 04:00:00+00:00,2020-01-01T23:00:00-06:00,2020-01-02 05:00:00+00:00,HB_BUSAVG,16.1733333333333
2020-01-01T23:00:00-06:00,2020-01-02 05:00:00+00:00,2020-01-02T00:00:00-06:00,2020-01-02 06:00:00+00:00,HB_BUSAVG,14.87
2020-01-02T00:00:00-06:00,2020-01-02 06:00:00+00:00,2020-01-02T01:00:00-06:00,2020-01-02 07:00:00+00:00,HB_BUSAVG,14.6758333333333
2020-01-02T01:00:00-06:00,2020-01-02 07:00:00+00:00,2020-01-02T02:00:00-06:00,2020-01-02 08:00:00+00:00,HB_BUSAVG,14.3033333333333
2020-01-02T02:00:00-06:00,2020-01-02 08:00:00+00:00,2020-01-02T03:00:00-06:00,2020-01-02 09:00:00+00:00,HB_BUSAVG,14.2283333333333
