interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-12-29T00:00:00-06:00,2024-12-29 06:00:00+00:00,2024-12-29T01:00:00-06:00,2024-12-29 07:00:00+00:00,HB_BUSAVG,38.0025
2024-12-29T01:00:00-06:00,2024-12-29 07:00:00+00:00,2024-12-29T02:00:00-06:00,2024-12-29 08:00:00+00:00,HB_BUSAVG,46.5875
2024-12-29T02:00:00-06:00,2024-12-29 08:00:00+00:00,2024-12-29T03:00:00-06:00,2024-12-29 09:00:00+00:00,HB_BUSAVG,30.775
2024-12-29T03:00:00-06:00,2024-12-29 09:00:00+00:00,2024-12-29T04:00:00-06:00,2024-12-29 10:00:00+00:00,HB_BUSAVG,25.425
2024-12-29T04:00:00-06:00,2024-12-29 10:00:00+00:00,2024-12-29T05:00:00-06:00,2024-12-29 11:00:00+00:00,HB_BUSAVG,25.6925
2024-12-29T05:00:00-06:00,2024-12-29 11:00:00+00:00,2024-12-29T06:00:00-06:00,2024-12-29 12:00:00+00:00,HB_BUSAVG,23.1133333333333
2024-12-29T06:00:00-06:00,2024-12-29 12:00:00+00:00,2024-12-29T07:00:00-06:00,2024-12-29 13:00:00+00:00,HB_BUSAVG,21.8991666666667
2024-12-29T07:00:00-06:00,2024-12-29 13:00:00+00:00,2024-12-29T08:00:00-06:00,2024-12-29 14:00:00+00:00,HB_BUSAVG,19.89
2024-12-29T08:00:00-06:00,2024-12-29 14:00:00+00:00,2024-12-29T09:00:00-06:00,2024-12-29 15:00:00+00:00,HB_BUSAVG,16.7358333333333
2024-12-29T09:00:00-06:00,2024-12-29 15:00:00+00:00,2024-12-29T10:00:00-06:00,2024-12-29 16:00:00+00:00,HB_BUSAVG,16.2266666666667
2024-12-29T10:00:00-06:00,2024-12-29 16:00:00+00:00,2024-12-29T11:00:00-06:00,2024-12-29 17:00:00+00:00,HB_BUSAVG,20.835
2024-12-29T11:00:00-06:00,2024-12-29 17:00:00+00:00,2024-12-29T12:00:00-06:00,2024-12-29 18:00:00+00:00,HB_BUSAVG,19.5641666666667
2024-12-29T12:00:00-06:00,2024-12-29 18:00:00+00:00,2024-12-29T13:00:00-06:00,2024-12-29 19:00:00+00:00,HB_BUSAVG,17.2116666666667
2024-12-29T13:00:00-06:00,2024-12-29 19:00:00+00:00,2024-12-29T14:00:00-06:00,2024-12-29 20:00:00+00:00,HB_BUSAVG,17.9058333333333
2024-12-29T14:00:00-06:00,2024-12-29 20:00:00+00:00,2024-12-29T15:00:00-06:00,2024-12-29 21:00:00+00:00,HB_BUSAVG,15.5991666666667
2024-12-29T15:00:00-06:00,2024-12-29 21:00:00+00:00,2024-12-29T16:00:00-06:00,2024-12-29 22:00:00+00:00,HB_BUSAVG,12.2275
2024-12-29T16:00:00-06:00,2024-12-29 22:00:00+00:00,2024-12-29T17:00:00-06:00,2024-12-29 23:00:00+00:00,HB_BUSAVG,24.1683333333333
2024-12-29T17:00:00-06:00,2024-12-29 23:00:00+00:00,2024-12-29T18:00:00-06:00,2024-12-30 00:00:00+00:00,HB_BUSAVG,35.2741666666667
2024-12-29T18:00:00-06:00,2024-12-30 00:00:00+00:00,2024-12-29T19:00:00-06:00,2024-12-30 01:00:00+00:00,HB_BUSAVG,29.3108333333333
2024-12-29T19:00:00-06:00,2024-12-30 01:00:00+00:00,2024-12-29T20:00:00-06:00,2024-12-30 02:00:00+00:00,HB_BUSAVG,22.125
2024-12-29T20:00:00-06:00,2024-12-30 02:00:00+00:00,2024-12-29T21:00:00-06:00,2024-12-30 03:00:00+00:00,HB_BUSAVG,17.9991666666667
2024-12-29T21:00:00-06:00,2024-12-30 03:00:00+00:00,2024-12-29T22:00:00-06:00,2024-12-30 04:00:00+00:00,HB_BUSAVG,14.0583333333333
2024-12-29T22:00:00-06:00,2024-12-30 04:00:00+00:00,2024-12-29T23:00:00-06:00,2024-12-30 05:00:00+00:00,HB_BUSAVG,12.3333333333333
2024-12-29T23:00:00-06:00,2024-12-30 05:00:00+00:00,2024-12-30T00:00:00-06:00,2024-12-30 06:00:00+00:00,HB_BUSAVG,4.3375
2024-12-30T00:00:00-06:00,2024-12-30 06:00:00+00:00,2024-12-30T01:00:00-06:00,2024-12-30 07:00:00+00:00,HB_BUSAVG,-2.24916666666667
2024-12-30T01:00:00-06:00,2024-12-30 07:00:00+00:00,2024-12-30T02:00:00-06:00,2024-12-30 08:00:00+00:00,HB_BUSAVG,-9.3275
2024-12-30T02:00:00-06:00,2024-12-30 08:00:00+00:00,2024-12-30T03:00:00-06:00,2024-12-30 09:00:00+00:00,HB_BUSAVG,-13.525
2024-12-30T03:00:00-06:00,2024-12-30 09:00:00+00:00,2024-12-30T04:00:00-06:00,2024-12-30 10:00:00+00:00,HB_BUSAVG,-18.8808333333333
2024-12-30T04:00:00-06:00,2024-12-30 10:00:00+00:00,2024-12-30T05:00:00-06:00,2024-12-30 11:00:00+00:00,HB_BUSAVG,-14.2133333333333
2024-12-30T05:00:00-06:00,2024-12-30 11:00:00+00:00,2024-12-30T06:00:00-06:00,2024-12-30 12:00:00+00:00,HB_BUSAVG,-2.5225
2024-12-30T06:00:00-06:00,2024-12-30 12:00:00+00:00,2024-12-30T07:00:00-06:00,2024-12-30 13:00:00+00:00,HB_BUSAVG,9.08666666666667
2024-12-30T07:00:00-06:00,2024-12-30 13:00:00+00:00,2024-12-30T08:00:00-06:00,2024-12-30 14:00:00+00:00,HB_BUSAVG,9.57666666666667
2024-12-30T08:00:00-06:00,2024-12-30 14:00:00+00:00,2024-12-30T09:00:00-06:00,2024-12-30 15:00:00+00:00,HB_BUSAVG,-2.83
2024-12-30T09:00:00-06:00,2024-12-30 15:00:00+00:00,2024-12-30T10:00:00-06:00,2024-12-30 16:00:00+00:00,HB_BUSAVG,-3.91583333333333
2024-12-30T10:00:00-06:00,2024-12-30 16:00:00+00:00,2024-12-30T11:00:00-06:00,2024-12-30 17:00:00+00:00,HB_BUSAVG,-3.71333333333333
2024-12-30T11:00:00-06:00,2024-12-30 17:00:00+00:00,2024-12-30T12:00:00-06:00,2024-12-30 18:00:00+00:00,HB_BUSAVG,-4.54583333333333
2024-12-30T12:00:00-06:00,2024-12-30 18:00:00+00:00,2024-12-30T13:00:00-06:00,2024-12-30 19:00:00+00:00,HB_BUSAVG,-4.885
2024-12-30T13:00:00-06:00,2024-12-30 19:00:00+00:00,2024-12-30T14:00:00-06:00,2024-12-30 20:00:00+00:00,HB_BUSAVG,-2.96153846153846
2024-12-30T14:00:00-06:00,2024-12-30 20:00:00+00:00,2024-12-30T15:00:00-06:00,2024-12-30 21:00:00+00:00,HB_BUSAVG,-1.36083333333333
2024-12-30T15:00:00-06:00,2024-12-30 21:00:00+00:00,2024-12-30T16:00:00-06:00,2024-12-30 22:00:00+00:00,HB_BUSAVG,-0.814166666666667
2024-12-30T16:00:00-06:00,2024-12-30 22:00:00+00:00,2024-12-30T17:00:00-06:00,2024-12-30 23:00:00+00:00,HB_BUSAVG,17.0866666666667
2024-12-30T17:00:00-06:00,2024-12-30 23:00:00+00:00,2024-12-30T18:00:00-06:00,2024-12-31 00:00:00+00:00,HB_BUSAVG,44.765
2024-12-30T18:00:00-06:00,2024-12-31 00:00:00+00:00,2024-12-30T19:00:00-06:00,2024-12-31 01:00:00+00:00,HB_BUSAVG,33.1041666666667
2024-12-30T19:00:00-06:00,2024-12-31 01:00:00+00:00,2024-12-30T20:00:00-06:00,2024-12-31 02:00:00+00:00,HB_BUSAVG,25.2058333333333
