interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2020-12-31T00:00:00-06:00,2020-12-31 06:00:00+00:00,2020-12-31T01:00:00-06:00,2020-12-31 07:00:00+00:00,HB_BUSAVG,14.6175
2020-12-31T01:00:00-06:00,2020-12-31 07:00:00+00:00,2020-12-31T02:00:00-06:00,2020-12-31 08:00:00+00:00,HB_BUSAVG,13.0184615384615
2020-12-31T02:00:00-06:00,2020-12-31 08:00:00+00:00,2020-12-31T03:00:00-06:00,2020-12-31 09:00:00+00:00,HB_BUSAVG,14.265
2020-12-31T03:00:00-06:00,2020-12-31 09:00:00+00:00,2020-12-31T04:00:00-06:00,2020-12-31 10:00:00+00:00,HB_BUSAVG,13.575
2020-12-31T04:00:00-06:00,2020-12-31 10:00:00+00:00,2020-12-31T05:00:00-06:00,2020-12-31 11:00:00+00:00,HB_BUSAVG,13.6133333333333
2020-12-31T05:00:00-06:00,2020-12-31 11:00:00+00:00,2020-12-31T06:00:00-06:00,2020-12-31 12:00:00+00:00,HB_BUSAVG,13.5841666666667
2020-12-31T06:00:00-06:00,2020-12-31 12:00:00+00:00,2020-12-31T07:00:00-06:00,2020-12-31 13:00:00+00:00,HB_BUSAVG,13.8491666666667
2020-12-31T07:00:00-06:00,2020-12-31 13:00:00+00:00,2020-12-31T08:00:00-06:00,2020-12-31 14:00:00+00:00,HB_BUSAVG,15.0041666666667
2020-12-31T08:00:00-06:00,2020-12-31 14:00:00+00:00,2020-12-31T09:00:00-06:00,2020-12-31 15:00:00+00:00,HB_BUSAVG,16.0583333333333
2020-12-31T09:00:00-06:00,2020-12-31 15:00:00+00:00,2020-12-31T10:00:00-06:00,2020-12-31 16:00:00+00:00,HB_BUSAVG,16.7341666666667
2020-12-31T10:00:00-06:00,2020-12-31 16:00:00+00:00,2020-12-31T11:00:00-06:00,2020-12-31 17:00:00+00:00,HB_BUSAVG,17.4525
2020-12-31T11:00:00-06:00,2020-12-31 17:00:00+00:00,2020-12-31T12:00:00-06:00,2020-12-31 18:00:00+00:00,HB_BUSAVG,17.42
2020-12-31T12:00:00-06:00,2020-12-31 18:00:00+00:00,2020-12-31T13:00:00-06:00,2020-12-31 19:00:00+00:00,HB_BUSAVG,17.3325
2020-12-31T13:00:00-06:00,2020-12-31 19:00:00+00:00,2020-12-31T14:00:00-06:00,2020-12-31 20:00:00+00:00,HB_BUSAVG,16.8175
2020-12-31T14:00:00-06:00,2020-12-31 20:00:00+00:00,2020-12-31T15:00:00-06:00,2020-12-31 21:00:00+00:00,HB_BUSAVG,15.9616666666667
2020-12-31T15:00:00-06:00,2020-12-31 21:00:00+00:00,2020-12-31T16:00:00-06:00,2020-12-31 22:00:00+00:00,HB_BUSAVG,15.8758333333333
2020-12-31T16:00:00-06:00,2020-12-31 22:00:00+00:00,2020-12-31T17:00:00-06:00,2020-12-31 23:00:00+00:00,HB_BUSAVG,15.9966666666667
2020-12-31T17:00:00-06:00,2020-12-31 23:00:00+00:00,2020-12-31T18:00:00-06:00,2021-01-01 00:00:00+00:00,HB_BUSAVG,16.8125
2020-12-31T18:00:00-06:00,2021-01-01 00:00:00+00:00,2020-12-31T19:00:00-06:00,2021-01-01 01:00:00+00:00,HB_BUSAVG,16.95
2020-12-31T19:00:00-06:00,2021-01-01 01:00:00+00:00,2020-12-31T20:00:00-06:00,2021-01-01 02:00:00+00:00,HB_BUSAVG,16.5175
2020-12-31T20:00:00-06:00,2021-01-01 02:00:00+00:00,2020-12-31T21:00:00-06:00,2021-01-01 03:00:00+00:00,HB_BUSAVG,16.06
2020-12-31T21:00:00-06:00,2021-01-01 03:00:00+00:00,2020-12-31T22:00:00-06:00,2021-01-01 04:00:00+00:00,HB_BUSAVG,15.7641666666667
2020-12-31T22:00:00-06:00,2021-01-01 04:00:00+00:00,2020-12-31T23:00:00-06:00,2021-01-01 05:00:00+00:00,HB_BUSAVG,16.1641666666667
2020-12-31T23:00:00-06:00,2021-01-01 05:00:00+00:00,2021-01-01T00:00:00-06:00,2021-01-01 06:00:00+00:00,HB_BUSAVG,15.93
2021-01-01T00:00:00-06:00,2021-01-01 06:00:00+00:00,2021-01-01T01:00:00-06:00,2021-01-01 07:00:00+00:00,HB_BUSAVG,15.2241666666667
2021-01-01T01:00:00-06:00,2021-01-01 07:00:00+00:00,2021-01-01T02:00:00-06:00,2021-01-01 08:00:00+00:00,HB_BUSAVG,14.6675
