interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,coast,east,far_west,north,north_central,south_central,southern,west
2024-12-30T00:00:00-06:00,2024-12-30 06:00:00+00:00,2024-12-30T01:00:00-06:00,2024-12-30 07:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,57.6,54.5,57.0,48.5,52.75,51.0,59.4,50.0
2024-12-30T01:00:00-06:00,2024-12-30 07:00:00+00:00,2024-12-30T02:00:00-06:00,2024-12-30 08:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,57.6,54.0,56.0,49.0,52.5,54.5,57.4,51.4
2024-12-30T02:00:00-06:00,2024-12-30 08:00:00+00:00,2024-12-30T03:00:00-06:00,2024-12-30 09:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,57.4,53.5,54.5,49.5,51.25,47.5,55.2,51.8
2024-12-30T03:00:00-06:00,2024-12-30 09:00:00+00:00,2024-12-30T04:00:00-06:00,2024-12-30 10:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,57.0,54.5,54.5,48.5,52.5,48.5,54.8,53.0
2024-12-30T04:00:00-06:00,2024-12-30 10:00:00+00:00,2024-12-30T05:00:00-06:00,2024-12-30 11:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,57.7,54.5,53.0,47.5,52.5,45.5,54.6,53.2
2024-12-30T05:00:00-06:00,2024-12-30 11:00:00+00:00,2024-12-30T06:00:00-06:00,2024-12-30 12:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,57.9,54.5,54.5,47.0,51.75,47.5,53.4,54.2
2024-12-30T06:00:00-06:00,2024-12-30 12:00:00+00:00,2024-12-30T07:00:00-06:00,2024-12-30 13:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,58.4,54.5,59.0,48.5,50.5,49.0,53.0,53.2
2024-12-30T07:00:00-06:00,2024-12-30 13:00:00+00:00,2024-12-30T08:00:00-06:00,2024-12-30 14:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,59.0,54.0,58.5,49.0,50.0,48.0,55.4,50.0
2024-12-30T08:00:00-06:00,2024-12-30 14:00:00+00:00,2024-12-30T09:00:00-06:00,2024-12-30 15:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,59.5,54.0,56.5,51.0,50.5,48.5,53.6,49.6
2024-12-30T09:00:00-06:00,2024-12-30 15:00:00+00:00,2024-12-30T10:00:00-06:00,2024-12-30 16:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,62.4,56.0,58.5,54.5,54.0,57.5,60.6,57.6
2024-12-30T10:00:00-06:00,2024-12-30 16:00:00+00:00,2024-12-30T11:00:00-06:00,2024-12-30 17:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,64.3,59.0,64.0,61.5,60.5,65.5,67.8,65.4
2024-12-30T11:00:00-06:00,2024-12-30 17:00:00+00:00,2024-12-30T12:00:00-06:00,2024-12-30 18:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,66.9,62.0,69.0,68.5,70.25,72.0,76.8,75.6
2024-12-30T12:00:00-06:00,2024-12-30 18:00:00+00:00,2024-12-30T13:00:00-06:00,2024-12-30 19:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,75.3,67.0,73.0,70.5,75.0,77.0,80.6,77.6
2024-12-30T13:00:00-06:00,2024-12-30 19:00:00+00:00,2024-12-30T14:00:00-06:00,2024-12-30 20:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,78.2,70.5,76.0,72.5,80.0,81.0,84.8,79.6
2024-12-30T14:00:00-06:00,2024-12-30 20:00:00+00:00,2024-12-30T15:00:00-06:00,2024-12-30 21:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,79.2,73.5,77.5,74.5,82.25,84.5,86.8,80.8
2024-12-30T15:00:00-06:00,2024-12-30 21:00:00+00:00,2024-12-30T16:00:00-06:00,2024-12-30 22:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,80.1,76.0,78.0,74.5,82.5,87.0,88.0,81.0
2024-12-30T16:00:00-06:00,2024-12-30 22:00:00+00:00,2024-12-30T17:00:00-06:00,2024-12-30 23:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,79.8,76.5,78.0,73.5,80.5,87.0,88.8,81.0
2024-12-30T17:00:00-06:00,2024-12-30 23:00:00+00:00,2024-12-30T18:00:00-06:00,2024-12-31 00:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,76.7,74.5,77.5,71.0,77.0,85.0,84.4,78.4
2024-12-30T18:00:00-06:00,2024-12-31 00:00:00+00:00,2024-12-30T19:00:00-06:00,2024-12-31 01:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,72.7,68.0,71.0,63.0,69.75,74.0,76.6,71.2
2024-12-30T19:00:00-06:00,2024-12-31 01:00:00+00:00,2024-12-30T20:00:00-06:00,2024-12-31 02:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,71.1,67.0,62.0,60.0,66.5,67.5,73.2,66.2
2024-12-30T20:00:00-06:00,2024-12-31 02:00:00+00:00,2024-12-30T21:00:00-06:00,2024-12-31 03:00:00+00:00,2025-01-02T05:00:00-06:00,2025-01-02 11:00:00+00:00,69.7,63.5,58.0,57.5,61.0,60.5,69.8,60.0
