interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,coast,east,far_west,north,north_central,south_central,southern,west
2018-01-01T00:00:00-06:00,2018-01-01 06:00:00+00:00,2018-01-01T01:00:00-06:00,2018-01-01 07:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,39.4,28.5,20.0,17.5,22.75,27.5,42.2,18.2
2018-01-01T01:00:00-06:00,2018-01-01 07:00:00+00:00,2018-01-01T02:00:00-06:00,2018-01-01 08:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,38.3,27.5,19.5,16.5,21.75,27.0,40.6,17.6
2018-01-01T02:00:00-06:00,2018-01-01 08:00:00+00:00,2018-01-01T03:00:00-06:00,2018-01-01 09:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,37.3,25.5,19.5,16.0,21.25,27.0,39.2,17.6
2018-01-01T03:00:00-06:00,2018-01-01 09:00:00+00:00,2018-01-01T04:00:00-06:00,2018-01-01 10:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,36.8,25.0,19.0,15.5,20.25,26.5,38.2,17.0
2018-01-01T04:00:00-06:00,2018-01-01 10:00:00+00:00,2018-01-01T05:00:00-06:00,2018-01-01 11:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,35.0,24.0,18.5,14.5,19.0,26.5,36.8,16.6
2018-01-01T05:00:00-06:00,2018-01-01 11:00:00+00:00,2018-01-01T06:00:00-06:00,2018-01-01 12:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,34.0,23.0,17.5,13.5,18.25,26.0,36.6,16.2
2018-01-01T06:00:00-06:00,2018-01-01 12:00:00+00:00,2018-01-01T07:00:00-06:00,2018-01-01 13:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,33.0,22.5,17.0,13.0,17.75,26.0,35.6,15.8
2018-01-01T07:00:00-06:00,2018-01-01 13:00:00+00:00,2018-01-01T08:00:00-06:00,2018-01-01 14:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,32.2,22.5,15.5,12.0,17.25,25.5,35.2,15.0
2018-01-01T08:00:00-06:00,2018-01-01 14:00:00+00:00,2018-01-01T09:00:00-06:00,2018-01-01 15:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,31.4,22.0,14.5,12.0,17.25,25.5,34.4,14.2
2018-01-01T09:00:00-06:00,2018-01-01 15:00:00+00:00,2018-01-01T10:00:00-06:00,2018-01-01 16:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,32.5,23.5,14.0,14.0,18.75,26.0,34.6,14.2
2018-01-01T10:00:00-06:00,2018-01-01 16:00:00+00:00,2018-01-01T11:00:00-06:00,2018-01-01 17:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,33.2,26.0,16.0,16.5,20.0,27.0,35.0,15.4
2018-01-01T11:00:00-06:00,2018-01-01 17:00:00+00:00,2018-01-01T12:00:00-06:00,2018-01-01 18:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,35.8,27.5,18.0,19.5,22.75,28.0,35.8,17.0
2018-01-01T12:00:00-06:00,2018-01-01 18:00:00+00:00,2018-01-01T13:00:00-06:00,2018-01-01 19:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,36.5,29.0,19.5,21.5,24.25,27.5,36.2,18.4
2018-01-01T13:00:00-06:00,2018-01-01 19:00:00+00:00,2018-01-01T14:00:00-06:00,2018-01-01 20:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,37.4,31.0,21.0,24.0,26.25,29.5,36.2,19.4
2018-01-01T14:00:00-06:00,2018-01-01 20:00:00+00:00,2018-01-01T15:00:00-06:00,2018-01-01 21:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,37.6,32.0,23.5,25.0,28.0,30.0,35.8,20.8
2018-01-01T15:00:00-06:00,2018-01-01 21:00:00+00:00,2018-01-01T16:00:00-06:00,2018-01-01 22:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,39.2,33.5,25.0,26.0,28.75,30.5,36.2,22.0
2018-01-01T16:00:00-06:00,2018-01-01 22:00:00+00:00,2018-01-01T17:00:00-06:00,2018-01-01 23:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,38.2,32.5,25.5,25.5,29.25,31.0,35.8,22.4
2018-01-01T17:00:00-06:00,2018-01-01 23:00:00+00:00,2018-01-01T18:00:00-06:00,2018-01-02 00:00:00+00:00,2018-01-04T05:00:01-06:00,2018-01-04 11:00:01+00:00,37.2,31.0,26.0,24.0,28.25,30.5,35.8,21.8
