interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,coast,east,far_west,north,north_central,south_central,southern,west
2020-01-01T00:00:00-06:00,2020-01-01 06:00:00+00:00,2020-01-01T01:00:00-06:00,2020-01-01 07:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,51.4,39.0,38.5,37.0,41.0,52.5,59.2,47.0
2020-01-01T01:00:00-06:00,2020-01-01 07:00:00+00:00,2020-01-01T02:00:00-06:00,2020-01-01 08:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,52.2,39.0,39.5,36.5,40.75,52.0,59.4,46.4
2020-01-01T02:00:00-06:00,2020-01-01 08:00:00+00:00,2020-01-01T03:00:00-06:00,2020-01-01 09:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,51.7,38.0,37.0,36.0,41.0,52.0,60.0,46.8
2020-01-01T03:00:00-06:00,2020-01-01 09:00:00+00:00,2020-01-01T04:00:00-06:00,2020-01-01 10:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,51.9,37.0,35.0,36.0,42.0,51.5,60.4,47.0
2020-01-01T04:00:00-06:00,2020-01-01 10:00:00+00:00,2020-01-01T05:00:00-06:00,2020-01-01 11:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,53.2,38.5,35.0,35.5,42.0,51.5,59.6,47.2
2020-01-01T05:00:00-06:00,2020-01-01 11:00:00+00:00,2020-01-01T06:00:00-06:00,2020-01-01 12:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,52.9,38.5,30.5,34.5,42.25,51.0,60.2,46.4
2020-01-01T06:00:00-06:00,2020-01-01 12:00:00+00:00,2020-01-01T07:00:00-06:00,2020-01-01 13:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,53.1,40.0,31.0,37.5,43.75,51.0,61.0,46.0
2020-01-01T07:00:00-06:00,2020-01-01 13:00:00+00:00,2020-01-01T08:00:00-06:00,2020-01-01 14:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,53.9,40.5,31.0,37.5,45.0,50.5,61.0,45.6
2020-01-01T08:00:00-06:00,2020-01-01 14:00:00+00:00,2020-01-01T09:00:00-06:00,2020-01-01 15:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,53.9,42.5,30.5,38.0,45.75,51.5,61.0,45.6
2020-01-01T09:00:00-06:00,2020-01-01 15:00:00+00:00,2020-01-01T10:00:00-06:00,2020-01-01 16:00:00+00:00,2020-01-04T05:00:01-06:00,2020-01-04 11:00:01+00:00,55.4,45.0,32.0,41.5,48.25,52.5,60.6,47.4
